initialPrice,sector,daysBeatSP,spvalue,priceChange100Days
25.25,Consumer Services,134,1512.12,0.003960396039604017
14.0,Technology,116,1361.23,0.051428571428571476
18.5,Finance,123,1770.49,-0.07513513513513517
50.2,Health Care,122,2394.44,0.0870517928286852
10.55,Consumer Services,127,2365.72,1.4265402843601895
14.85,Consumer Non-Durables,136,1461.4,0.2754208754208755
27.5,Miscellaneous,120,1502.96,0.20654545454545453
27.05,Health Care,136,1912.53,0.1822550831792976
9.55,Finance,35,2074.28,0.028795811518324457
9.99,Finance,26,2055.47,0.007007007007007036
12.2599,Finance,130,1983.53,0.09299423323191872
37.25,Energy,98,2432.54,-0.1755704697986577
4.5,Consumer Services,28,2090.35,-0.08888888888888896
17.0,Health Care,124,2389.52,1.1641176470588235
27.81,Health Care,96,1751.64,-0.2837108953613807
49.0,Public Utilities,130,2083.58,0.3493877551020409
26.12,Technology,133,2125.85,0.25153139356814685
22.35,Technology,134,2111.72,0.32080536912751667
9.6,Capital Goods,66,1872.01,0.014583333333333393
23.5,Health Care,123,2061.23,-0.0012765957446808994
22.75,Basic Industries,124,2100.44,0.36439560439560437
11.57,Consumer Services,129,1402.22,0.3656006914433881
8.01,Health Care,111,2096.99,-0.001248439450686615
24.95,Health Care,134,1628.93,-0.1951903807615231
14.25,Consumer Services,131,1691.42,0.30175438596491233
14.0,Consumer Services,124,2102.15,-0.3742857142857143
41.5,Technology,119,1725.52,0.6033734939759038
23.2,Health Care,88,1962.61,-0.4810344827586207
23.5,Consumer Services,113,2116.1,-0.2531914893617021
15.05,Health Care,123,2173.02,-0.007973421926910364
15.0,Finance,28,2186.48,0.0
16.88,Consumer Services,130,1994.65,0.5100710900473934
20.16,Technology,111,2051.82,-0.1443452380952381
24.75,Finance,113,1555.25,-0.050505050505050504
18.0,Health Care,132,2085.51,0.645
16.85,Energy,58,2560.4,0.09198813056379804
21.276,Finance,117,1552.36,-0.10133483737544646
9.57,Finance,29,2557.15,0.01201671891327066
10.09,Finance,36,2552.07,0.04658077304261651
10.01,Finance,28,2582.14,0.031968031968031996
9.92,Technology,51,2099.93,0.008064516129032265
11.75,Capital Goods,117,1650.51,0.4936170212765958
20.26,Consumer Services,132,1763.31,0.04491609081934848
13.25,Finance,122,1928.21,0.29886792452830196
18.0,Energy,125,2108.29,-0.15666666666666668
30.03,Energy,140,2358.84,-0.07292707292707297
26.02,Consumer Non-Durables,122,2114.15,-0.31936971560338195
22.61,Consumer Services,126,1693.87,0.14551083591331265
18.8,Capital Goods,135,2096.29,-0.10585106382978733
12.5,Finance,65,2578.85,0.7584000000000001
19.84,Finance,108,2423.41,-0.016633064516128948
16.55,Health Care,125,2364.87,1.3867069486404833
9.23,Consumer Services,116,2130.82,-0.3802816901408451
399.84,Consumer Services,125,2108.86,0.08568427370948392
21.5,Finance,132,2328.95,-0.03069767441860466
20.21,Public Utilities,114,2109.99,-0.2785749628896586
9.26,Health Care,111,1946.17,0.7645788336933046
20.11,Energy,134,1412.97,0.12033814022874201
11.26,Health Care,116,1782.59,0.5550621669626999
27.1,Technology,65,2550.93,0.19261992619926194
7.0833,Finance,86,1754.67,0.2941284429573786
19.9,Technology,124,2365.72,0.4396984924623116
12.25,Health Care,114,2102.31,-0.40816326530612246
9.0,Health Care,80,1781.56,-0.2777777777777778
14.0,Capital Goods,124,1751.64,0.003571428571428622
24.78,Finance,122,1937.78,0.01129943502824849
27.2,Finance,56,2594.38,0.07352941176470588
20.5,Basic Industries,113,2109.99,-0.6717073170731707
5.99,Finance,93,1694.16,0.24373956594323873
4.39,Miscellaneous,140,2021.15,0.3735763097949888
20.64,Capital Goods,114,1956.98,-0.11337209302325581
10.31,Health Care,121,1349.96,0.32589718719689614
10.0,Energy,117,2080.73,0.281
30.25,Miscellaneous,135,1994.29,0.5629752066115703
24.44,Health Care,116,1839.78,-0.015752864157119538
9.0,Health Care,112,1958.12,-0.20888888888888887
15.96,Health Care,123,2106.63,-0.11027568922305774
17.38,Consumer Services,139,1613.2,0.18872266973532803
22.25,Energy,52,2578.87,0.3114606741573034
19.55,Energy,119,1848.38,0.1918158567774936
8.8091,Capital Goods,107,2365.38,-0.2105322904723525
11.52,Finance,106,2384.2,0.16232638888888898
21.35,Finance,135,1998.3,0.1695550351288055
17.69,Health Care,115,2077.42,0.13058224985867714
5.2,Health Care,115,1985.54,-0.08626923076923075
21.85,Finance,136,1391.57,0.21327231121281465
